HT,AMRules,ARF,OXT
2.313797,2.3627804,2.3634882,2.5734442
0.0002978,0.0004478,0.0002586,0.00024
130.9633786,336.0552,112.4342554,110.1034334
71177.597545,81330.0498806,63071.4610966,65865.5628138
0.0050776,0.0057592,0.004535,0.00388
39948.9884572,57164.9432812,37002.2942922,35178.4891894
43745.1802336,51024.6551378,40819.750509,41882.1761098
2134.4102526,1984.15358,4546.153274,1930.1333732
24.239024,42.617666400000005,28.1972644,24.8980894
5.078943199999999,6.5118616000000005,5.9005272,4.3266394
0.8072332,0.8299350000000001,0.740243,0.7689808
1.9293066,2.586581,2.3327764,2.0765642
3.8389398,4.3288364,3.8480912,3.7734006
0.0183588,0.0260748,0.0287378,0.017556
2.327105,2.914652,2.7213864,2.3192874
2.274373,2.69005,2.4653632,2.2488520000000003
2.149988,2.657161,2.50605,2.2752512
2.289287,2.277641,2.4418372,1.8791536
2.547918,2.650268,2.896624,2.237801
48.785424,47.3933594,45.153527,49.6549246
15.213242,25.2991204,20.3438494,21.7427642
15.442793,25.843635,20.4995206,21.85754
