PAR,Dummy,HT,AMRules,ARF-abs,XT
1.3134108000000002,0.975853,2.0816837999999995,1.9493502,45.4333168,7.798322000000001
6.8089336000000005,5.161720799999999,28.8726228,21.5497244,386.0100824,77.92217199999999
4.2274012,2.9668294,11.1491412,8.8104188,201.4161334,50.63819159999999
4.233092399999999,2.865994,16.584992800000002,8.869105000000001,207.4976272,37.0793282
5.0270204,3.5950430000000004,20.8739712,13.807262599999998,455.6606476,51.7743418
4.7644198,3.166955,19.3027864,10.6315052,624.718736,58.738931
6.406742800000001,4.6074064,37.343807600000005,19.522524,860.5932088,81.94500779999998
20.860282,12.8346902,24.996835800000003,14.4167542,1036.9376614,140.495024
8.524323,6.681117400000001,26.2031118,19.8615774,219.8058236,107.9043222
2.987137,1.9846084,8.9408712,4.313492600000001,164.0890058,18.4146418
1.2340426,0.8542568000000001,3.4430065999999995,2.8400022,76.04743339999999,10.998845200000002
21.243954,14.651539000000003,483.7675436,83.13756839999999,4201.5368066,666.730013
1.6793016,1.1318568,5.7499082,3.7260606,178.0390022,17.208772200000002
3.4700809999999995,2.6222522,21.394632,12.276349799999998,270.8096702,45.688582800000006
12.0685528,6.2125732000000005,440.6644514,71.5902208,5736.182103,643.9015906000001
12.793899200000002,6.3051554,453.6171596,59.1289106,2670.3608226,371.7062558
12.1443912,6.1840954,391.6334668,61.082152,2850.9828316,379.7278538
62.32720780000001,31.7617522,6814.0250074,223.0037612,46713.5971146,2832.1170738
63.483482200000005,32.5211228,7024.6119632,229.8532882,31871.9205974,2728.1102792
62.9960392,32.1718268,4999.1944214,239.65551220000003,21599.1861036,959.7302416
83.3083036,48.2584658,21712.2784116,1044.805391,8248.6480382,2046.7802928
148.9373276,69.30851340000001,17345.0196144,826.1343872000001,7557.624596,1697.1705589999997
